InvoiceDate,TotalSpend,Description,Quantity
2022-12-01 09:53:00,102.0,HEART OF WICKER LARGE,40
2022-12-01 09:53:00,17.700000000000003,WHITE LOVEBIRD LANTERN,6
2022-12-01 09:53:00,25.5,CLASSIC METAL BIRDCAGE PLANT HOLDER,2
2022-12-01 09:53:00,15.8,CREAM HEART CARD HOLDER,4
2022-12-01 09:53:00,17.85,ENAMEL FLOWER JUG CREAM,3
2022-12-01 09:53:00,41.7,ENAMEL FIRE BUCKET CREAM,6
2022-12-01 09:53:00,87.6,ENAMEL BREAD BIN CREAM,8
2022-12-01 09:56:00,19.95,SET 3 WICKER OVAL BASKETS W LIDS,1
2022-12-01 09:56:00,17.4,JAM MAKING SET PRINTED,12
2022-12-01 09:56:00,25.5,JAM MAKING SET WITH JARS,6
2022-12-01 09:56:00,19.5,JUMBO BAG DOLLY GIRL DESIGN,10
2022-12-01 09:56:00,15.0,TRADITIONAL CHRISTMAS RIBBONS,12
2022-12-01 09:56:00,17.0,ORGANISER WOOD ANTIQUE WHITE ,2
2022-12-01 09:56:00,16.5,LUNCH BAG DOLLY GIRL DESIGN,10
2022-12-01 09:57:00,178.20000000000002,WHITE WIRE EGG HOLDER,36
2022-12-01 09:57:00,165.0,JUMBO  BAG BAROQUE BLACK WHITE,100
2022-12-01 09:57:00,165.0,JUMBO BAG RED RETROSPOT,100
2022-12-01 09:58:00,733.4399999999999,CHILLI LIGHTS,192
2022-12-01 09:58:00,647.04,LIGHT GARLAND BUTTERFILES PINK,192
2022-12-01 09:58:00,647.04,WOODEN OWLS LIGHT GARLAND ,192
2022-12-01 09:58:00,626.4,FAIRY TALE COTTAGE NIGHTLIGHT,432
2022-12-01 09:58:00,540.0,RED TOADSTOOL LED NIGHT LIGHT,432
2022-12-01 09:59:00,17.85,HOME BUILDING BLOCK WORD,3
2022-12-01 09:59:00,17.85,LOVE BUILDING BLOCK WORD,3
2022-12-01 09:59:00,15.9,DOORMAT FANCY FONT HOME SWEET HOME,2
2022-12-01 09:59:00,14.85,HOME SMALL WOOD LETTERS,3
2022-12-01 09:59:00,12.75,GINGHAM HEART  DOORSTOP RED,3
2022-12-01 09:59:00,17.700000000000003,FIVE HEART HANGING DECORATION,6
2022-12-01 09:59:00,19.8,HANGING METAL HEART LANTERN,12
2022-12-01 09:59:00,5.04,ASSORTED BOTTLE TOP  MAGNETS ,12
2022-12-01 09:59:00,10.2,FRIDGE MAGNETS US DINER ASSORTED,12
2022-12-01 09:59:00,17.4,HOMEMADE JAM SCENTED CANDLES,12
2022-12-01 09:59:00,10.2,FRIDGE MAGNETS LES ENFANTS ASSORTED,12
2022-12-01 09:59:00,27.0,ROSE CARAVAN DOORSTOP,4
2022-12-01 09:59:00,19.8,HEART OF WICKER SMALL,12
2022-12-01 09:59:00,19.8,5 HOOK HANGER MAGIC TOADSTOOL,12
2022-12-01 10:03:00,51.0,CHRISTMAS LIGHTS 10 REINDEER,6
2022-12-01 10:03:00,39.6,VINTAGE UNION JACK CUSHION COVER,8
2022-12-01 10:03:00,15.0,VINTAGE HEADS AND TAILS CARD GAME ,12
2022-12-01 10:03:00,32.7,SET OF 3 COLOURED  FLYING DUCKS,6
2022-12-01 10:03:00,25.4,SET OF 3 GOLD FLYING DUCKS,4
2022-12-01 10:03:00,35.7,RED RETROSPOT UMBRELLA,6
2022-12-01 10:03:00,17.85,BLACK/BLUE POLKADOT UMBRELLA,3
2022-12-01 10:03:00,17.0,RED DINER WALL CLOCK,2
2022-12-01 10:03:00,15.0,ALARM CLOCK BAKELIKE GREEN,4
2022-12-01 10:03:00,15.0,ALARM CLOCK BAKELIKE RED ,4
2022-12-01 10:03:00,17.0,BLUE DINER WALL CLOCK,2
2022-12-01 10:03:00,17.0,IVORY DINER WALL CLOCK,2
2022-12-01 10:03:00,39.6,LARGE HEART MEASURING SPOONS,24
2022-12-01 10:03:00,20.4,SMALL HEART MEASURING SPOONS,24
2022-12-01 10:19:00,17.0,CHRISTMAS LIGHTS 10 REINDEER,2
2022-12-01 10:19:00,45.0,JAM MAKING SET WITH JARS,12
2022-12-01 10:19:00,17.4,JAM MAKING SET PRINTED,12
2022-12-01 10:19:00,34.56,JAM JAR WITH PINK LID,48
2022-12-01 10:19:00,34.56,JAM JAR WITH GREEN LID,48
2022-12-01 10:19:00,68.0,ROSE COTTAGE KEEPSAKE BOX ,8
2022-12-01 10:19:00,92.16,HANGING HEART ZINC T-LIGHT HOLDER,144
2022-12-01 10:19:00,102.0,PAPER CHAIN KIT VINTAGE CHRISTMAS,40
2022-12-01 10:19:00,28.8,DISCO BALL CHRISTMAS DECORATION,288
2022-12-01 10:19:00,163.2,WHITE HANGING HEART T-LIGHT HOLDER,64
2022-12-01 10:19:00,72.0,SMALL POPCORN HOLDER,100
2022-12-01 10:19:00,72.5,LARGE POPCORN HOLDER ,50
2022-12-01 10:19:00,51.0,RETROSPOT LARGE MILK JUG,12
2022-12-01 10:19:00,61.44,SET/20 RED RETROSPOT PAPER NAPKINS ,96
2022-12-01 10:19:00,61.44,SET/6 RED SPOTTY PAPER PLATES,96
2022-12-01 10:19:00,31.200000000000003,SET/6 RED SPOTTY PAPER CUPS,48
2022-12-01 10:19:00,46.08,POLKADOT RAIN HAT ,144
2022-12-01 10:19:00,198.0,DELUXE SEWING KIT ,40
2022-12-01 10:19:00,102.0,RETROSPOT HEART HOT WATER BOTTLE,24
2022-12-01 10:19:00,81.36,KNITTED UNION FLAG HOT WATER BOTTLE,24
2022-12-01 10:19:00,90.0,ENGLISH ROSE HOT WATER BOTTLE,24
2022-12-01 10:19:00,71.03999999999999,PHOTO CUBE,48
2022-12-01 10:19:00,120.0,HOMEMADE JAM SCENTED CANDLES,96
2022-12-01 10:19:00,165.0,JUMBO BAG RED RETROSPOT,100
2022-12-01 10:29:00,11.7,3 STRIPEY MICE FELTCRAFT,6
2022-12-01 10:29:00,15.0,SET OF 6 SOLDIER SKITTLES,4
2022-12-01 10:29:00,15.0,TRADITIONAL WOODEN SKIPPING ROPE,12
2022-12-01 10:29:00,15.0,WOODEN BOX OF DOMINOES,12
2022-12-01 10:29:00,165.0,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1
2022-12-01 10:29:00,15.0,PARTY CONES CARNIVAL ASSORTED,12
2022-12-01 10:29:00,15.0,PARTY CONES CANDY ASSORTED,12
2022-12-01 10:29:00,23.8,PICNIC BASKET WICKER SMALL,4
2022-12-01 10:29:00,27.04,ASSORTED COLOUR BIRD ORNAMENT,16
2022-12-01 10:29:00,15.6,STAR DECORATION PAINTED ZINC ,24
2022-12-01 10:37:00,79.6,RETROSPOT LAMP,8
2022-12-01 10:39:00,10.08,"FANCY FONT BIRTHDAY CARD, ",24
2022-12-01 10:39:00,177.60000000000002,HAND WARMER UNION JACK,96
2022-12-01 10:39:00,177.60000000000002,HAND WARMER SCOTTY DOG DESIGN,96
2022-12-01 10:39:00,177.60000000000002,HAND WARMER OWL DESIGN,96
2022-12-01 10:39:00,177.60000000000002,HAND WARMER RED RETROSPOT,96
2022-12-01 10:39:00,59.400000000000006,RETROSPOT HEART HOT WATER BOTTLE,12
2022-12-01 10:39:00,45.0,DOG BOWL CHASING BALL DESIGN,12
2022-12-01 10:39:00,60.0,CLOTHES PEGS RETROSPOT PACK 24 ,48
2022-12-01 10:39:00,25.200000000000003,HAND OVER THE CHOCOLATE   SIGN ,12
2022-12-01 10:39:00,81.6,WHITE HANGING HEART T-LIGHT HOLDER,32
2022-12-01 10:39:00,33.0,TRAVEL SEWING KIT,20
2022-12-01 10:47:00,31.6,BLACK HEART CARD HOLDER,8
2022-12-01 10:47:00,54.08,ASSORTED COLOUR BIRD ORNAMENT,32
2022-12-01 10:47:00,13.2,PACK OF 60 PINK PAISLEY CAKE CASES,24
2022-12-01 10:47:00,13.2,60 TEATIME FAIRY CAKE CASES,24
2022-12-01 10:47:00,13.2,PACK OF 72 RETROSPOT CAKE CASES,24
2022-12-01 10:47:00,27.6,CHICK GREY HOT WATER BOTTLE,8
2022-12-01 10:47:00,16.8,SMALL GLASS HEART TRINKET POT,8
2022-12-01 10:47:00,15.0,ALARM CLOCK BAKELIKE IVORY,4
2022-12-01 10:47:00,30.0,ALARM CLOCK BAKELIKE RED ,8
2022-12-01 10:47:00,30.0,ALARM CLOCK BAKELIKE ORANGE,8
2022-12-01 10:47:00,30.0,ALARM CLOCK BAKELIKE GREEN,8
2022-12-01 10:47:00,31.6,HOT WATER BOTTLE TEA AND SYMPATHY,8
2022-12-01 10:47:00,100.8,HAND WARMER BIRD DESIGN,48
2022-12-01 10:47:00,100.8,HAND WARMER SCOTTY DOG DESIGN,48
2022-12-01 10:51:00,15.3,WHITE HANGING HEART T-LIGHT HOLDER,6
2022-12-01 10:51:00,20.34,WHITE METAL LANTERN,6
2022-12-01 10:51:00,22.0,CREAM CUPID HEARTS COAT HANGER,8
2022-12-01 10:51:00,29.700000000000003,EDWARDIAN PARASOL BLACK,6
2022-12-01 10:51:00,29.700000000000003,EDWARDIAN PARASOL RED,6
2022-12-01 10:51:00,6.36,RETRO COFFEE MUGS ASSORTED,6
2022-12-01 10:51:00,6.36,SAVE THE PLANET MUG,6
2022-12-01 10:51:00,6.36,VINTAGE BILLBOARD DRINK ME MUG,6
2022-12-01 10:51:00,6.36,VINTAGE BILLBOARD LOVE/HATE MUG,6
2022-12-01 10:51:00,9.9,WOOD 2 DRAWER CABINET WHITE FINISH,2
2022-12-01 10:51:00,27.8,WOOD S/3 CABINET ANT WHITE FINISH,4
2022-12-01 10:51:00,12.6,WOODEN PICTURE FRAME WHITE FINISH,6
2022-12-01 10:51:00,30.6,WOODEN FRAME ANTIQUE WHITE ,12
2022-12-01 10:51:00,20.34,KNITTED UNION FLAG HOT WATER BOTTLE,6
2022-12-01 10:51:00,20.34,RED WOOLLY HOTTIE WHITE HEART.,6
2022-12-01 10:51:00,15.3,SET 7 BABUSHKA NESTING BOXES,2
2022-12-01 10:51:00,71.5,IVORY EMBROIDERED QUILT ,2
2022-12-01 10:51:00,25.5,GLASS STAR FROSTED T-LIGHT HOLDER,6
2022-12-01 10:51:00,55.8,SET OF 3 BLACK FLYING DUCKS,12
2022-12-01 10:51:00,223.2,SET OF 3 COLOURED  FLYING DUCKS,48
2022-12-01 10:52:00,6.959999999999999,PACK OF 12 RED RETROSPOT TISSUES ,24
2022-12-01 10:52:00,17.700000000000003,RED RETROSPOT MUG,6
2022-12-01 10:52:00,27.0,BABUSHKA LIGHTS STRING OF 10,4
2022-12-01 10:52:00,20.4,PIGGY BANK RETROSPOT ,8
2022-12-01 10:52:00,51.0,SET 7 BABUSHKA NESTING BOXES,6
2022-12-01 10:52:00,15.9,DOORMAT FAIRY CAKE,2
2022-12-01 10:52:00,25.200000000000003,HAND WARMER RED RETROSPOT,12
2022-12-01 10:52:00,25.200000000000003,HAND WARMER SCOTTY DOG DESIGN,12
2022-12-01 10:52:00,25.200000000000003,HAND WARMER OWL DESIGN,12
2022-12-01 10:52:00,15.0,STRAWBERRY CERAMIC TRINKET BOX,12
2022-12-01 10:52:00,19.8,PINK DOUGHNUT TRINKET POT ,12
2022-12-01 10:52:00,20.1,SILK PURSE BABUSHKA PINK,6
2022-12-01 10:52:00,15.8,HOT WATER BOTTLE TEA AND SYMPATHY,4
2022-12-01 10:52:00,37.2,HOT WATER BOTTLE I AM SO POORLY,8
2022-12-01 10:52:00,44.55,CHOCOLATE HOT WATER BOTTLE,9
2022-12-01 10:52:00,15.0,WHITE SKULL HOT WATER BOTTLE ,4
2022-12-01 10:52:00,44.55,SCOTTIE DOG HOT WATER BOTTLE,9
2022-12-01 10:52:00,11.1,HAND WARMER RED POLKA DOT,6
2022-12-01 10:52:00,11.1,HAND WARMER UNION JACK,6
2022-12-01 10:53:00,17.4,HOMEMADE JAM SCENTED CANDLES,12
2022-12-01 11:21:00,2.55,BIRD HOUSE HOT WATER BOTTLE,1
2022-12-01 11:21:00,1.25,BOUDOIR SQUARE TISSUE BOX,1
2022-12-01 11:21:00,2.5,SKULLS SQUARE TISSUE BOX,2
2022-12-01 11:21:00,2.95,PHOTO FRAME CORNICE,1
2022-12-01 11:21:00,3.35,SILK PURSE BABUSHKA RED,1
2022-12-01 11:21:00,1.45,PICTURE DOMINOES,1
2022-12-01 11:21:00,1.25,S/6 SEW ON CROCHET FLOWERS,1
2022-12-01 11:21:00,2.5,SCANDINAVIAN REDS RIBBONS,2
2022-12-01 11:21:00,1.65,BALLOONS  WRITING SET ,1
2022-12-01 11:21:00,5.8,JAM MAKING SET PRINTED,4
2022-12-01 11:21:00,1.25,LAVENDER INCENSE IN TIN,1
2022-12-01 11:21:00,4.95,TV DINNER TRAY VINTAGE PAISLEY,1
2022-12-01 11:21:00,7.5,SET OF 4 ENGLISH ROSE PLACEMATS,2
2022-12-01 11:21:00,2.5,SET OF 4 ENGLISH ROSE COASTERS,2
2022-12-01 11:21:00,19.9,TRIPLE PHOTO FRAME CORNICE ,2
2022-12-01 11:21:00,9.95,FAMILY PHOTO FRAME CORNICE,1
2022-12-01 11:21:00,5.95,MIRRORED DISCO BALL ,1
2022-12-01 11:21:00,4.25,DISCO BALL ROTATOR BATTERY OPERATED,1
2022-12-01 11:21:00,14.85,SILVER LOOKING MIRROR,3
2022-12-01 11:21:00,2.55,LADIES & GENTLEMEN METAL SIGN,1
2022-12-01 11:21:00,2.95,METAL SIGN HER DINNER IS SERVED ,1
2022-12-01 11:21:00,3.38,YOU'RE CONFUSING ME METAL SIGN ,2
2022-12-01 11:21:00,7.95,DOORMAT TOPIARY,1
2022-12-01 11:21:00,0.55,BATHROOM METAL SIGN,1
2022-12-01 11:21:00,0.55,KITCHEN METAL SIGN,1
2022-12-01 11:21:00,1.1,TOILET METAL SIGN,2
2022-12-01 11:21:00,11.8,METAL SIGN TAKE IT OR LEAVE IT ,4
2022-12-01 11:21:00,4.2,I'M ON HOLIDAY METAL SIGN,2
2022-12-01 11:21:00,2.1,GROW YOUR OWN BASIL IN ENAMEL MUG,1
2022-12-01 11:21:00,1.25,SET/10 PINK POLKADOT PARTY CANDLES,1
2022-12-01 11:21:00,0.85,SET 20 NAPKINS FAIRY CAKES DESIGN ,1
2022-12-01 11:21:00,1.65,60 TEATIME FAIRY CAKE CASES,3
2022-12-01 11:21:00,2.95,SET OF 6 T-LIGHTS SNOWMEN,1
2022-12-01 11:21:00,2.95,SET OF 6 T-LIGHTS SANTA,1
2022-12-01 11:21:00,2.5,SET OF 9 HEART SHAPED BALLOONS,2
2022-12-01 11:21:00,3.75,SANDWICH BATH SPONGE,3
2022-12-01 11:21:00,1.25,APPLE BATH SPONGE,1
2022-12-01 11:21:00,1.25,STRAWBERRY BATH SPONGE ,1
2022-12-01 11:21:00,3.3,BLACK PIRATE TREASURE CHEST,2
2022-12-01 11:21:00,5.9,STAR PORTABLE TABLE LIGHT ,2
2022-12-01 11:21:00,5.9,SNOWFLAKE PORTABLE TABLE LIGHT ,2
2022-12-01 11:21:00,5.95,PINK OVAL JEWELLED MIRROR,1
